Date,Maximum Temperature,Minimum Temperature,,,,,
2004-09-01,98,63,,,,,
2004-09-02,91,58,,,,,
2004-09-03,88,59,,,,,
2004-09-04,90,53,,,,,
2004-09-05,97,58,,,,,
2004-09-06,101,58,,,,,
2004-09-07,100,58,,,,,
2004-09-08,104,60,,,,,
2004-09-09,102,59,,,,,
2004-09-10,99,56,,,,,
2004-09-11,98,58,,,,,
2004-09-12,93,59,,,,,
2004-09-13,86,54,,,,,
2004-09-14,86,54,,,,,
2004-09-15,92,53,,,,,
2004-09-16,93,59,,,,,
2004-09-17,94,59,,,,,
2004-09-18,71,55,,,,,
2004-09-19,66,48,,,,,
2004-09-20,73,46,,,,,
2004-09-21,79,46,,,,,
2004-09-22,86,47,,,,,
2004-09-23,92,50,,,,,
2004-09-24,93,51,,,,,
2004-09-25,93,53,,,,,
2004-09-26,93,51,,,,,
2004-09-27,89,51,,,,,
2004-09-28,78,53,,,,,
2004-09-29,79,52,,,,,
2004-09-30,75,52,,,,,
