Date,Maximum Temperature,Minimum Temperature,,,,,,,
2024-09-01,97,64,,,,,,,
2024-09-02,94,62,,,,,,,
2024-09-03,98,57,,,,,,,
2024-09-04,103,62,,,,,,,
2024-09-05,104,69,,,,,,,
2024-09-06,105,67,,,,,,,
2024-09-07,105,66,,,,,,,
2024-09-08,105,68,,,,,,,
2024-09-09,106,63,,,,,,,
2024-09-10,91,61,,,,,,,
2024-09-11,89,57,,,,,,,
2024-09-12,87,57,,,,,,,
2024-09-13,93,56,,,,,,,
2024-09-14,95,56,,,,,,,
2024-09-15,83,57,,,,,,,
2024-09-16,73,55,,,,,,,
2024-09-17,81,52,,,,,,,
2024-09-18,77,57,,,,,,,
2024-09-19,86,58,,,,,,,
2024-09-20,87,56,,,,,,,
2024-09-21,91,58,,,,,,,
2024-09-22,93,59,,,,,,,
2024-09-23,97,61,,,,,,,
2024-09-24,102,60,,,,,,,
2024-09-25,92,62,,,,,,,
2024-09-26,91,54,,,,,,,
2024-09-27,95,53,,,,,,,
2024-09-28,96,57,,,,,,,
2024-09-29,90,57,,,,,,,
2024-09-30,95,54,,,,,,,
